Station/Location;Date;tre200s0;rre150z0;sre000z0;gre000z0;ure200s0;tde200s0;dkl010z0;fu3010z0;fu3010z1;prestas0;pp0qffs0;pp0qnhs0;ppz850s0;ppz700s0;dv1towz0;fu3towz0;fu3towz1;ta1tows0;uretows0;tdetows0
GEN;202506051750;11.20;0.00;0.00;52.00;99.40;11.10;180.00;4.30;10.80;841.30;-;1020.50;1515.20;-;-;-;-;-;-;-
MRP;202506051750;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
MOA;202506051750;18.60;0.00;0.00;75.00;78.40;14.80;159.00;4.30;6.10;961.50;1013.40;1014.90;-;-;-;-;-;-;-;-
MTE;202506051750;13.60;0.00;0.00;63.00;60.30;6.10;35.00;3.20;6.50;842.40;-;1019.30;1505.10;-;-;-;-;-;-;-
MOE;202506051750;17.50;0.00;0.00;72.00;88.50;15.60;173.00;0.40;1.40;974.00;1013.80;1014.70;-;-;-;-;-;-;-;-
MUB;202506051750;19.30;0.00;0.00;54.00;67.20;13.10;254.00;5.80;11.20;958.50;1013.30;1015.10;-;-;-;-;-;-;-;-
NAS;202506051750;7.00;-;0.00;26.00;74.70;2.80;245.00;18.40;23.40;765.00;-;1022.00;-;3105.70;-;-;-;-;-;-
NAP;202506051750;12.10;0.00;0.00;73.00;82.60;9.20;233.00;13.70;24.80;859.70;-;1018.20;1500.40;-;-;-;-;-;-;-
NEU;202506051750;19.00;0.00;0.00;34.00;60.60;11.20;257.00;9.70;19.10;957.90;1013.20;1014.90;-;-;-;-;-;-;-;-
CGI;202506051750;18.80;0.00;0.00;64.00;77.70;14.80;280.00;6.50;11.50;961.10;1013.60;1015.20;-;-;-;-;-;-;-;-
OBR;202506051750;17.00;0.00;-;-;95.00;16.20;196.00;6.50;10.80;967.50;1014.90;1015.90;-;-;-;-;-;-;-;-
AEG;202506051750;-;-;-;-;-;-;229.00;2.90;5.00;-;-;-;-;-;-;-;-;-;-;-
ORO;202506051750;15.90;0.00;0.00;73.00;78.00;12.10;205.00;7.90;11.90;920.80;-;1016.80;1504.00;-;-;-;-;-;-;-
BEH;202506051750;6.10;0.10;0.00;20.00;95.60;5.50;131.00;24.80;30.60;777.30;-;1022.90;1520.90;-;-;-;-;-;-;-
